id;name;zip_file;zip_file_content_type;processed;outcome
1;silver Plains orange;../fake-data/blob/hipster.png;image/png;2020-07-01T22:41:49;Steel red
2;RAM SAS;../fake-data/blob/hipster.png;image/png;2020-07-01T23:10:04;compressing microchip
3;hacking generate;../fake-data/blob/hipster.png;image/png;2020-07-01T21:06:51;Technician Frozen
4;Maine index;../fake-data/blob/hipster.png;image/png;2020-07-02T05:02:06;Checking Account
5;Maryland Accountability array;../fake-data/blob/hipster.png;image/png;2020-07-01T19:07:47;copying Networked synthesizing
6;parallelism Shoals;../fake-data/blob/hipster.png;image/png;2020-07-01T18:21:33;yellow
7;Montana white;../fake-data/blob/hipster.png;image/png;2020-07-02T02:09:28;Gloves Virginia Optimization
8;Incredible Fresh Tuna Savings Account;../fake-data/blob/hipster.png;image/png;2020-07-01T20:28:38;networks Practical
9;indexing payment;../fake-data/blob/hipster.png;image/png;2020-07-01T18:49:13;ivory heuristic deliverables
10;haptic Investor;../fake-data/blob/hipster.png;image/png;2020-07-01T23:49:25;rich extranet Lead
